  0.500000E-04,  0.499810E-02,  0.477017E-02,  0.469748E-02,  0.342142E+00,  0.591270E-01,  0.283015E+00,
  0.100000E-03,  0.509173E-02,  0.479187E-02,  0.469914E-02,  0.440919E+00,  0.113061E+00,  0.327858E+00,
  0.150000E-03,  0.515886E-02,  0.481492E-02,  0.470276E-02,  0.411617E+00,  0.463376E-01,  0.365280E+00,
  0.200000E-03,  0.519406E-02,  0.483250E-02,  0.470601E-02,  0.314025E+00,  0.448054E-01,  0.269220E+00,
  0.250000E-03,  0.524561E-02,  0.484726E-02,  0.470909E-02,  0.281597E+00,  0.516204E-01,  0.229976E+00,
  0.300000E-03,  0.528119E-02,  0.486090E-02,  0.471235E-02,  0.266119E+00,  0.589565E-01,  0.207163E+00,
  0.350000E-03,  0.530946E-02,  0.487409E-02,  0.471621E-02,  0.264304E+00,  0.704094E-01,  0.193894E+00,
  0.400000E-03,  0.535534E-02,  0.488774E-02,  0.472165E-02,  0.287902E+00,  0.990917E-01,  0.188811E+00,
  0.450000E-03,  0.538646E-02,  0.490627E-02,  0.473451E-02,  0.596970E+00,  0.255004E+00,  0.341966E+00,
  0.500000E-03,  0.543939E-02,  0.494409E-02,  0.478880E-02,  0.488438E+00,  0.170195E+00,  0.318243E+00,
  0.550000E-03,  0.547372E-02,  0.496320E-02,  0.479173E-02,  0.315283E+00,  0.103278E+00,  0.212005E+00,
  0.600000E-03,  0.549591E-02,  0.497743E-02,  0.479516E-02,  0.264496E+00,  0.819064E-01,  0.182589E+00,
  0.650000E-03,  0.553227E-02,  0.499024E-02,  0.479905E-02,  0.253075E+00,  0.830624E-01,  0.170012E+00,
  0.700000E-03,  0.556365E-02,  0.500432E-02,  0.480341E-02,  0.362278E+00,  0.114171E+00,  0.248107E+00,
  0.750000E-03,  0.559003E-02,  0.502757E-02,  0.481734E-02,  0.716250E+00,  0.395581E+00,  0.320670E+00,
  0.800000E-03,  0.563367E-02,  0.505913E-02,  0.486212E-02,  0.408696E+00,  0.154229E+00,  0.254467E+00,
  0.850000E-03,  0.566464E-02,  0.507593E-02,  0.486799E-02,  0.288757E+00,  0.997718E-01,  0.188985E+00,
  0.900000E-03,  0.568658E-02,  0.508917E-02,  0.487147E-02,  0.248565E+00,  0.819918E-01,  0.166573E+00,
  0.950000E-03,  0.570861E-02,  0.510159E-02,  0.487497E-02,  0.306593E+00,  0.831091E-01,  0.223484E+00,
  0.100000E-02,  0.574150E-02,  0.511724E-02,  0.488005E-02,  0.332945E+00,  0.118333E+00,  0.214612E+00,
  0.105000E-02,  0.577111E-02,  0.513934E-02,  0.489277E-02,  0.707571E+00,  0.420031E+00,  0.287540E+00,
  0.110000E-02,  0.579712E-02,  0.516732E-02,  0.493199E-02,  0.381322E+00,  0.150199E+00,  0.231123E+00,
  0.115000E-02,  0.582978E-02,  0.518328E-02,  0.494171E-02,  0.277411E+00,  0.983097E-01,  0.179101E+00,
  0.120000E-02,  0.585647E-02,  0.519601E-02,  0.494584E-02,  0.238516E+00,  0.801324E-01,  0.158383E+00,
  0.125000E-02,  0.587742E-02,  0.520950E-02,  0.494899E-02,  0.280956E+00,  0.801645E-01,  0.200791E+00,
  0.130000E-02,  0.589489E-02,  0.522368E-02,  0.495300E-02,  0.295890E+00,  0.104712E+00,  0.191178E+00,
  0.135000E-02,  0.592449E-02,  0.524149E-02,  0.496138E-02,  0.479999E+00,  0.255366E+00,  0.224633E+00,
  0.140000E-02,  0.596008E-02,  0.526924E-02,  0.499338E-02,  0.400340E+00,  0.164599E+00,  0.235741E+00,
  0.145000E-02,  0.598185E-02,  0.528583E-02,  0.501210E-02,  0.284103E+00,  0.104956E+00,  0.179147E+00,
  0.150000E-02,  0.599851E-02,  0.529870E-02,  0.501857E-02,  0.237655E+00,  0.806255E-01,  0.157029E+00,
